occupancy_rate_at_booking,days_until_event,days_since_created,base_price,rule_based_multiplier,historical_adjustment,final_multiplier,purchase_price
0.8,31,30,1000,1.45,0.108,1.56,1560.0
0.7,29,40,1000,1.36,0.102,1.47,1470.0
0.51,39,46,1000,1.2,-0.058,1.14,1140.0
0.27,11,37,1000,1.03,-0.004,1.03,1030.0
0.97,8,46,1000,1.64,-0.007,1.63,1630.0
0.81,58,23,1000,1.45,0.103,1.55,1550.0
0.11,8,88,1000,0.91,0.04,0.95,950.0
0.54,30,77,1000,1.23,-0.026,1.2,1200.0
0.94,58,51,1000,1.56,-0.056,1.5,1500.0
0.31,34,37,1000,1.03,-0.075,0.96,960.0
0.21,30,9,1000,0.95,0.075,1.02,1020.0
0.92,12,6,1000,1.58,0.056,1.63,1630.0
0.34,30,33,1000,1.06,0.015,1.07,1070.0
0.53,43,80,1000,1.21,-0.027,1.19,1190.0
0.61,47,16,1000,1.28,0.05,1.33,1330.0
0.29,36,31,1000,1.01,0.086,1.1,1100.0
0.91,13,88,1000,1.57,-0.066,1.5,1500.0
0.54,51,40,1000,1.22,0.113,1.33,1330.0
0.28,20,82,1000,1.02,0.092,1.11,1110.0
0.7,60,64,1000,1.35,-0.021,1.33,1330.0
0.77,51,67,1000,1.42,-0.014,1.4,1400.0
0.56,51,64,1000,1.24,0.034,1.27,1270.0
0.29,17,19,1000,1.03,-0.024,1.01,1010.0
0.61,39,58,1000,1.28,0.01,1.29,1290.0
0.15,18,8,1000,0.91,-0.039,0.87,870.0
0.96,47,36,1000,1.58,-0.005,1.57,1570.0
0.96,35,59,1000,1.58,-0.012,1.57,1570.0
0.5,21,88,1000,1.2,0.054,1.26,1260.0
0.08,15,65,1000,0.86,0.044,0.9,900.0
0.68,27,68,1000,1.35,0.004,1.35,1350.0
0.45,44,61,1000,1.15,0.091,1.24,1240.0
0.12,50,1,1000,0.86,-0.076,0.79,790.0
0.44,48,43,1000,1.14,0.097,1.23,1230.0
0.22,52,83,1000,0.95,-0.05,0.9,900.0
0.58,5,79,1000,1.34,0.115,1.46,1460.0
0.12,35,5,1000,0.87,0.065,0.93,930.0
0.27,56,10,1000,0.99,0.105,1.1,1100.0
0.72,50,80,1000,1.37,-0.01,1.36,1360.0
0.38,5,10,1000,1.17,0.094,1.27,1270.0
0.07,50,71,1000,0.82,-0.027,0.79,790.0
0.09,34,49,1000,0.84,0.031,0.87,870.0
0.45,15,55,1000,1.17,0.058,1.23,1230.0
0.26,59,15,1000,0.98,0.003,0.98,980.0
0.61,26,84,1000,1.29,-0.071,1.22,1220.0
0.64,8,35,1000,1.36,-0.017,1.34,1340.0
0.57,58,57,1000,1.24,-0.033,1.21,1210.0
0.97,20,33,1000,1.6,-0.023,1.58,1580.0
0.7,22,71,1000,1.37,-0.014,1.36,1360.0
0.26,27,66,1000,0.99,0.062,1.05,1050.0
0.53,4,25,1000,1.32,0.047,1.37,1370.0
0.92,12,67,1000,1.58,0.025,1.6,1600.0
0.77,40,76,1000,1.42,-0.033,1.39,1390.0
0.31,45,43,1000,1.03,0.11,1.14,1140.0
0.41,47,77,1000,1.11,0.088,1.2,1200.0
0.23,25,78,1000,0.97,-0.03,0.94,940.0
0.36,53,12,1000,1.07,-0.072,0.99,990.0
0.99,46,30,1000,1.6,-0.053,1.55,1550.0
0.3,5,29,1000,1.1,0.068,1.17,1170.0
0.68,23,46,1000,1.35,-0.021,1.33,1330.0
0.7,43,14,1000,1.36,0.116,1.47,1470.0
0.75,25,51,1000,1.41,-0.046,1.36,1360.0
0.53,49,90,1000,1.21,0.046,1.26,1260.0
0.35,30,53,1000,1.07,0.014,1.08,1080.0
0.88,25,20,1000,1.52,0.096,1.62,1620.0
0.47,27,7,1000,1.17,-0.068,1.1,1100.0
0.36,57,36,1000,1.07,-0.019,1.05,1050.0
0.11,48,35,1000,0.86,-0.027,0.83,830.0
0.92,9,86,1000,1.59,0.058,1.65,1650.0
0.55,30,29,1000,1.24,0.1,1.34,1340.0
0.73,19,28,1000,1.4,0.058,1.46,1460.0
0.28,20,60,1000,1.02,0.113,1.13,1130.0
0.09,6,64,1000,0.91,0.076,0.99,990.0
0.72,53,83,1000,1.37,-0.054,1.32,1320.0
0.43,7,71,1000,1.19,0.104,1.29,1290.0
0.16,53,45,1000,0.9,-0.04,0.86,860.0
0.44,7,29,1000,1.2,0.037,1.24,1240.0
0.51,28,80,1000,1.2,0.108,1.31,1310.0
0.79,37,31,1000,1.44,0.075,1.51,1510.0
0.87,48,14,1000,1.5,0.029,1.53,1530.0
0.47,3,42,1000,1.3,0.053,1.35,1350.0
0.9,6,68,1000,1.6,0.093,1.69,1690.0
0.13,14,24,1000,0.9,-0.04,0.86,860.0
0.57,40,4,1000,1.25,-0.08,1.17,1170.0
0.17,29,85,1000,0.91,0.056,0.97,970.0
0.48,43,15,1000,1.17,0.057,1.23,1230.0
0.88,57,1,1000,1.51,-0.049,1.46,1460.0
0.97,49,64,1000,1.59,-0.041,1.55,1550.0
0.81,38,64,1000,1.45,-0.017,1.44,1440.0
0.05,0,61,1000,1.39,-0.06,1.33,1330.0
0.06,12,68,1000,0.85,0.046,0.89,890.0
0.36,53,58,1000,1.07,-0.01,1.06,1060.0
0.56,31,3,1000,1.24,0.078,1.32,1320.0
0.25,19,45,1000,0.99,0.036,1.03,1030.0
0.51,23,6,1000,1.21,0.057,1.27,1270.0
0.98,10,31,1000,1.64,0.036,1.67,1670.0
0.91,44,11,1000,1.54,0.094,1.63,1630.0
0.55,17,89,1000,1.25,0.115,1.37,1370.0
0.69,52,79,1000,1.35,0.046,1.39,1390.0
0.62,39,10,1000,1.29,0.119,1.41,1410.0
0.57,42,55,1000,1.25,0.071,1.32,1320.0
0.65,12,69,1000,1.35,0.023,1.37,1370.0
0.47,45,85,1000,1.16,-0.002,1.16,1160.0
0.48,59,56,1000,1.17,-0.072,1.1,1100.0
0.43,20,56,1000,1.14,0.092,1.24,1240.0
0.2,42,12,1000,0.93,0.074,1.01,1010.0
0.15,54,77,1000,0.89,0.109,1.0,1000.0
0.28,11,70,1000,1.04,-0.067,0.97,970.0
0.4,23,27,1000,1.11,0.085,1.2,1200.0
0.25,45,11,1000,0.98,0.036,1.01,1010.0
0.96,27,12,1000,1.59,-0.048,1.54,1540.0
0.82,35,44,1000,1.46,0.105,1.57,1570.0
0.58,29,45,1000,1.26,-0.069,1.19,1190.0
0.36,58,77,1000,1.07,0.107,1.17,1170.0
0.42,30,70,1000,1.13,-0.064,1.06,1060.0
0.44,40,58,1000,1.14,0.108,1.25,1250.0
0.37,13,23,1000,1.11,0.066,1.17,1170.0
0.8,52,80,1000,1.44,-0.019,1.42,1420.0
0.53,53,85,1000,1.21,0.089,1.3,1300.0
0.57,41,18,1000,1.25,-0.066,1.18,1180.0
0.33,43,36,1000,1.04,0.043,1.09,1090.0
0.26,56,5,1000,0.98,0.099,1.08,1080.0
0.36,5,70,1000,1.16,0.12,1.28,1280.0
0.64,39,89,1000,1.31,-0.048,1.26,1260.0
0.46,56,79,1000,1.15,0.046,1.2,1200.0
0.18,12,88,1000,0.95,0.095,1.04,1040.0
0.8,56,89,1000,1.44,-0.051,1.39,1390.0
0.33,49,61,1000,1.04,0.035,1.08,1080.0
0.13,58,13,1000,0.87,0.015,0.89,890.0
0.39,2,56,1000,1.28,0.074,1.36,1360.0
0.7,38,5,1000,1.36,0.108,1.47,1470.0
0.92,18,77,1000,1.56,0.018,1.58,1580.0
0.68,8,88,1000,1.39,0.005,1.4,1400.0
0.2,58,40,1000,0.93,0.09,1.02,1020.0
0.36,15,22,1000,1.09,-0.068,1.03,1030.0
0.24,60,23,1000,0.96,0.055,1.02,1020.0
0.57,40,67,1000,1.25,0.009,1.26,1260.0
0.56,59,41,1000,1.24,0.043,1.28,1280.0
0.62,54,63,1000,1.29,-0.045,1.24,1240.0
0.69,43,77,1000,1.35,0.011,1.36,1360.0
0.64,60,71,1000,1.3,-0.076,1.23,1230.0
0.36,40,34,1000,1.07,0.02,1.09,1090.0
0.97,43,58,1000,1.59,0.002,1.59,1590.0
0.36,33,26,1000,1.07,-0.048,1.03,1030.0
0.41,9,44,1000,1.16,0.045,1.2,1200.0
0.48,23,57,1000,1.18,-0.008,1.17,1170.0
0.63,36,26,1000,1.3,0.012,1.31,1310.0
0.93,47,48,1000,1.55,0.006,1.56,1560.0
0.78,0,1,1000,2.01,0.039,2.05,2050.0
0.48,8,74,1000,1.22,-0.02,1.2,1200.0
0.28,34,44,1000,1.01,0.022,1.03,1030.0
0.71,57,24,1000,1.36,0.017,1.38,1380.0
0.68,14,13,1000,1.37,0.103,1.47,1470.0
0.45,13,70,1000,1.18,0.027,1.2,1200.0
0.64,1,51,1000,1.59,-0.044,1.55,1550.0
0.62,26,9,1000,1.3,0.11,1.41,1410.0
0.64,51,89,1000,1.31,0.054,1.36,1360.0
0.66,3,5,1000,1.46,-0.067,1.39,1390.0
0.17,21,77,1000,0.92,-0.022,0.9,900.0
0.19,7,8,1000,0.99,0.008,0.99,990.0
0.11,22,39,1000,0.87,-0.026,0.84,840.0
0.79,34,21,1000,1.44,0.048,1.49,1490.0
0.11,38,90,1000,0.86,0.028,0.89,890.0
0.62,46,60,1000,1.29,0.095,1.38,1380.0
0.79,38,13,1000,1.44,0.023,1.46,1460.0
0.6,60,83,1000,1.27,0.025,1.3,1300.0
0.25,15,11,1000,1.0,0.028,1.03,1030.0
0.66,37,56,1000,1.33,0.091,1.42,1420.0
0.4,19,58,1000,1.12,0.108,1.23,1230.0
0.21,25,77,1000,0.95,-0.032,0.92,920.0
0.55,36,62,1000,1.23,0.054,1.29,1290.0
0.32,53,3,1000,1.03,-0.074,0.96,960.0
0.07,41,32,1000,0.82,0.066,0.89,890.0
0.91,34,22,1000,1.54,-0.0,1.54,1540.0
0.36,56,85,1000,1.07,-0.01,1.06,1060.0
0.23,0,45,1000,1.55,-0.035,1.51,1510.0
0.6,28,88,1000,1.28,0.101,1.38,1380.0
0.19,36,58,1000,0.93,0.022,0.95,950.0
0.26,15,14,1000,1.01,0.019,1.03,1030.0
0.53,42,51,1000,1.21,-0.006,1.21,1210.0
0.89,21,78,1000,1.53,0.112,1.65,1650.0
0.47,5,86,1000,1.25,-0.023,1.23,1230.0
0.4,6,14,1000,1.18,-0.027,1.15,1150.0
0.53,37,90,1000,1.22,0.098,1.31,1310.0
0.2,26,63,1000,0.94,0.056,1.0,1000.0
0.38,27,64,1000,1.09,0.04,1.13,1130.0
0.11,13,51,1000,0.89,0.114,1.0,1000.0
0.52,4,19,1000,1.31,0.043,1.36,1360.0
0.24,55,54,1000,0.96,0.056,1.02,1020.0
0.43,51,20,1000,1.13,0.082,1.21,1210.0
0.29,10,53,1000,1.05,0.036,1.09,1090.0
0.78,27,21,1000,1.43,-0.056,1.38,1380.0
0.95,15,50,1000,1.6,-0.004,1.59,1590.0
0.95,7,19,1000,1.63,-0.05,1.58,1580.0
0.72,42,13,1000,1.38,0.116,1.49,1490.0
0.73,56,62,1000,1.38,0.043,1.42,1420.0
0.55,10,74,1000,1.27,0.035,1.31,1310.0
0.83,37,89,1000,1.47,-0.051,1.42,1420.0
0.67,52,40,1000,1.33,0.034,1.36,1360.0
0.64,58,87,1000,1.3,-0.076,1.23,1230.0
0.57,16,74,1000,1.27,0.062,1.33,1330.0
0.74,16,19,1000,1.41,0.1,1.51,1510.0
0.45,52,45,1000,1.14,0.099,1.24,1240.0
0.91,37,43,1000,1.54,-0.054,1.49,1490.0
0.22,29,12,1000,0.96,-0.068,0.89,890.0
0.73,27,38,1000,1.39,-0.069,1.32,1320.0
0.22,4,63,1000,1.06,-0.037,1.02,1020.0
0.06,1,22,1000,1.1,-0.019,1.08,1080.0
0.15,9,18,1000,0.94,0.071,1.01,1010.0
0.87,13,8,1000,1.53,-0.014,1.52,1520.0
0.3,19,70,1000,1.03,-0.032,1.0,1000.0
0.42,29,4,1000,1.13,-0.038,1.09,1090.0
0.2,2,67,1000,1.12,0.076,1.2,1200.0
0.24,35,40,1000,0.97,-0.011,0.96,960.0
0.34,45,49,1000,1.05,0.053,1.1,1100.0
0.52,2,3,1000,1.39,-0.019,1.37,1370.0
0.18,11,59,1000,0.95,0.003,0.96,960.0
0.57,37,78,1000,1.25,0.019,1.27,1270.0
0.9,26,82,1000,1.54,0.102,1.64,1640.0
0.21,30,28,1000,0.95,0.1,1.05,1050.0
0.13,59,24,1000,0.87,-0.036,0.83,830.0
0.11,5,31,1000,0.94,-0.06,0.88,880.0
0.65,3,3,1000,1.45,0.053,1.51,1510.0
0.42,3,19,1000,1.26,0.115,1.37,1370.0
0.4,12,21,1000,1.14,0.028,1.16,1160.0
0.7,9,81,1000,1.41,0.043,1.45,1450.0
0.06,14,87,1000,0.84,-0.007,0.83,830.0
0.53,31,26,1000,1.22,0.04,1.26,1260.0
0.47,57,29,1000,1.16,-0.021,1.14,1140.0
0.83,15,10,1000,1.49,0.073,1.57,1570.0
0.86,12,21,1000,1.53,0.069,1.6,1600.0
0.74,9,24,1000,1.44,-0.053,1.39,1390.0
0.63,5,11,1000,1.39,0.049,1.43,1430.0
0.74,3,32,1000,1.53,0.024,1.55,1550.0
0.92,44,10,1000,1.55,-0.058,1.49,1490.0
0.64,43,80,1000,1.31,-0.005,1.3,1300.0
0.61,19,2,1000,1.3,0.063,1.36,1360.0
0.95,27,26,1000,1.58,0.035,1.61,1610.0
0.4,20,26,1000,1.12,0.053,1.17,1170.0
0.24,23,24,1000,0.98,0.087,1.07,1070.0
0.72,55,6,1000,1.37,-0.027,1.35,1350.0
0.48,58,4,1000,1.17,0.053,1.22,1220.0
0.74,55,76,1000,1.39,0.043,1.43,1430.0
0.12,13,30,1000,0.89,0.095,0.99,990.0
0.67,49,27,1000,1.33,-0.043,1.29,1290.0
0.49,37,78,1000,1.18,-0.068,1.11,1110.0
0.23,55,66,1000,0.96,0.047,1.0,1000.0
0.94,56,1,1000,1.56,0.107,1.67,1670.0
0.21,55,4,1000,0.94,0.016,0.96,960.0
0.09,25,31,1000,0.85,-0.024,0.83,830.0
0.27,50,43,1000,0.99,0.101,1.09,1090.0
0.28,17,83,1000,1.02,-0.039,0.98,980.0
0.41,28,30,1000,1.12,-0.06,1.06,1060.0
0.87,2,31,1000,1.69,0.072,1.76,1760.0
0.58,34,14,1000,1.26,0.024,1.28,1280.0
0.66,40,46,1000,1.33,0.006,1.33,1330.0
0.23,60,22,1000,0.96,-0.037,0.92,920.0
0.17,18,86,1000,0.93,0.07,1.0,1000.0
0.54,55,49,1000,1.22,-0.019,1.2,1200.0
0.53,14,89,1000,1.24,0.028,1.27,1270.0
0.54,56,11,1000,1.22,0.04,1.26,1260.0
0.83,15,36,1000,1.49,-0.032,1.46,1460.0
0.34,56,1,1000,1.05,-0.065,0.98,980.0
0.97,13,83,1000,1.62,0.014,1.63,1630.0
0.49,45,2,1000,1.18,0.118,1.3,1300.0
0.87,6,33,1000,1.58,-0.006,1.57,1570.0
0.72,13,28,1000,1.4,-0.064,1.34,1340.0
0.12,18,87,1000,0.88,-0.08,0.8,800.0
0.3,23,29,1000,1.03,-0.063,0.97,970.0
0.44,12,16,1000,1.17,-0.053,1.12,1120.0
0.35,46,29,1000,1.06,0.026,1.09,1090.0
0.11,58,46,1000,0.85,0.041,0.9,900.0
0.93,30,22,1000,1.56,-0.019,1.54,1540.0
0.21,37,34,1000,0.94,0.07,1.01,1010.0
0.55,39,84,1000,1.23,0.119,1.35,1350.0
0.91,6,11,1000,1.61,0.028,1.64,1640.0
0.38,24,57,1000,1.1,0.077,1.17,1170.0
0.13,2,39,1000,1.06,0.022,1.08,1080.0
0.25,53,56,1000,0.97,-0.069,0.9,900.0
0.66,10,72,1000,1.37,-0.068,1.3,1300.0
0.59,35,78,1000,1.27,-0.021,1.25,1250.0
0.62,44,9,1000,1.29,0.03,1.32,1320.0
0.42,54,8,1000,1.12,-0.073,1.05,1050.0
0.29,37,33,1000,1.01,-0.037,0.98,980.0
0.53,39,80,1000,1.22,0.098,1.31,1310.0
0.06,44,68,1000,0.81,-0.042,0.77,770.0
0.4,52,40,1000,1.1,0.062,1.16,1160.0
0.88,49,54,1000,1.51,0.119,1.63,1630.0
0.59,9,45,1000,1.31,0.051,1.36,1360.0
0.35,21,83,1000,1.07,-0.004,1.07,1070.0
0.07,13,48,1000,0.85,-0.005,0.85,850.0
0.33,21,45,1000,1.06,0.069,1.13,1130.0
0.86,9,47,1000,1.54,0.018,1.56,1560.0
0.4,6,39,1000,1.18,0.052,1.23,1230.0
0.12,7,18,1000,0.93,-0.022,0.91,910.0
0.95,20,14,1000,1.59,0.091,1.68,1680.0
0.1,18,22,1000,0.87,0.094,0.96,960.0
0.62,56,89,1000,1.29,0.109,1.4,1400.0
0.5,18,76,1000,1.21,0.106,1.31,1310.0
0.83,28,60,1000,1.48,0.044,1.52,1520.0
0.65,12,82,1000,1.35,0.108,1.46,1460.0
0.47,10,11,1000,1.2,0.008,1.21,1210.0
0.3,2,85,1000,1.2,-0.011,1.19,1190.0
0.28,41,76,1000,1.0,0.107,1.11,1110.0
0.97,59,10,1000,1.58,0.003,1.59,1590.0
0.77,11,30,1000,1.45,0.093,1.55,1550.0
0.38,33,63,1000,1.09,0.088,1.18,1180.0
0.05,31,69,1000,0.81,-0.009,0.8,800.0
0.91,54,36,1000,1.53,-0.008,1.53,1530.0
0.68,42,16,1000,1.34,-0.057,1.29,1290.0
0.75,56,10,1000,1.4,0.099,1.5,1500.0
0.19,44,57,1000,0.92,-0.019,0.91,910.0
0.46,4,11,1000,1.26,0.011,1.27,1270.0
0.08,50,80,1000,0.83,-0.07,0.76,760.0
0.89,10,35,1000,1.56,-0.001,1.56,1560.0
0.56,9,43,1000,1.29,0.038,1.32,1320.0
0.26,54,51,1000,0.98,-0.022,0.96,960.0
0.51,26,24,1000,1.21,0.029,1.23,1230.0
0.73,1,53,1000,1.67,-0.072,1.6,1600.0
0.41,14,88,1000,1.14,0.04,1.18,1180.0
0.84,47,49,1000,1.48,0.007,1.48,1480.0
0.59,7,75,1000,1.33,0.111,1.44,1440.0
0.11,52,49,1000,0.85,-0.07,0.79,790.0
0.13,2,87,1000,1.06,0.01,1.07,1070.0
0.17,14,42,1000,0.93,0.034,0.97,970.0
0.34,52,1,1000,1.05,0.067,1.12,1120.0
0.53,35,61,1000,1.22,0.079,1.3,1300.0
0.95,19,8,1000,1.59,0.072,1.66,1660.0
0.06,13,36,1000,0.84,-0.0,0.84,840.0
0.25,53,39,1000,0.97,-0.01,0.96,960.0
0.5,59,78,1000,1.19,0.066,1.25,1250.0
0.39,17,32,1000,1.11,0.108,1.22,1220.0
0.8,33,56,1000,1.45,0.02,1.47,1470.0
0.16,45,24,1000,0.9,0.051,0.95,950.0
0.95,32,50,1000,1.58,-0.076,1.5,1500.0
0.4,17,51,1000,1.12,0.083,1.21,1210.0
0.59,56,40,1000,1.26,0.01,1.27,1270.0
0.84,42,86,1000,1.48,-0.048,1.43,1430.0
0.37,49,47,1000,1.08,-0.007,1.07,1070.0
0.45,54,8,1000,1.14,0.115,1.26,1260.0
0.6,60,83,1000,1.27,-0.031,1.24,1240.0
0.62,41,59,1000,1.29,0.064,1.36,1360.0
0.28,15,15,1000,1.03,0.032,1.06,1060.0
0.49,44,66,1000,1.18,-0.078,1.1,1100.0
0.48,49,12,1000,1.17,-0.059,1.11,1110.0
0.28,59,47,1000,1.0,0.025,1.02,1020.0
0.51,38,87,1000,1.2,0.048,1.25,1250.0
0.45,57,64,1000,1.14,0.004,1.15,1150.0
0.98,27,12,1000,1.6,0.02,1.62,1620.0
0.42,46,7,1000,1.12,0.048,1.17,1170.0
0.47,60,17,1000,1.16,-0.001,1.16,1160.0
0.33,23,16,1000,1.06,-0.06,1.0,1000.0
0.06,57,63,1000,0.81,-0.01,0.8,800.0
0.56,21,86,1000,1.25,-0.066,1.19,1190.0
0.79,30,28,1000,1.44,0.001,1.44,1440.0
0.84,34,61,1000,1.48,-0.013,1.47,1470.0
0.48,13,36,1000,1.2,-0.056,1.14,1140.0
0.79,25,89,1000,1.44,0.119,1.56,1560.0
0.26,8,7,1000,1.04,0.101,1.14,1140.0
0.38,6,76,1000,1.16,0.023,1.18,1180.0
0.82,21,21,1000,1.47,-0.066,1.41,1410.0
0.9,29,24,1000,1.54,0.038,1.57,1570.0
0.11,51,5,1000,0.86,0.012,0.87,870.0
0.45,20,84,1000,1.16,0.052,1.21,1210.0
0.5,2,15,1000,1.38,0.112,1.49,1490.0
0.6,26,60,1000,1.28,0.085,1.37,1370.0
0.08,1,71,1000,1.12,0.033,1.15,1150.0
0.15,22,57,1000,0.9,-0.028,0.88,880.0
0.07,14,5,1000,0.85,0.028,0.88,880.0
0.71,39,74,1000,1.37,0.024,1.39,1390.0
0.15,54,27,1000,0.89,-0.012,0.88,880.0
0.05,38,17,1000,0.81,-0.02,0.79,790.0
0.82,46,13,1000,1.46,0.009,1.47,1470.0
0.09,28,12,1000,0.85,-0.002,0.85,850.0
0.6,42,47,1000,1.27,-0.034,1.24,1240.0
0.35,17,46,1000,1.08,-0.027,1.05,1050.0
0.26,37,73,1000,0.99,0.113,1.1,1100.0
0.42,10,19,1000,1.16,-0.045,1.12,1120.0
0.35,29,47,1000,1.07,-0.035,1.03,1030.0
0.28,39,69,1000,1.0,-0.046,0.96,960.0
0.23,14,60,1000,0.99,0.07,1.06,1060.0
0.7,30,9,1000,1.36,0.079,1.44,1440.0
0.97,42,44,1000,1.59,0.043,1.63,1630.0
0.54,28,1,1000,1.23,-0.063,1.17,1170.0
0.33,15,70,1000,1.07,-0.074,0.99,990.0
0.54,48,36,1000,1.22,-0.052,1.17,1170.0
0.86,45,13,1000,1.49,0.045,1.54,1540.0
0.08,34,27,1000,0.84,0.065,0.9,900.0
0.63,35,68,1000,1.3,0.078,1.38,1380.0
0.08,52,23,1000,0.83,-0.078,0.75,750.0
0.64,11,89,1000,1.34,0.12,1.46,1460.0
0.42,23,22,1000,1.13,-0.036,1.1,1100.0
0.95,55,81,1000,1.57,-0.055,1.51,1510.0
0.15,14,53,1000,0.92,0.055,0.97,970.0
0.45,37,21,1000,1.15,0.081,1.23,1230.0
0.74,58,80,1000,1.39,-0.038,1.35,1350.0
0.77,45,59,1000,1.42,-0.026,1.39,1390.0
0.42,40,57,1000,1.12,0.062,1.18,1180.0
0.34,60,19,1000,1.05,0.018,1.07,1070.0
0.77,52,13,1000,1.42,0.052,1.47,1470.0
0.24,49,85,1000,0.97,0.063,1.03,1030.0
0.12,23,35,1000,0.88,0.111,0.99,990.0
0.74,22,55,1000,1.41,0.061,1.47,1470.0
0.51,3,62,1000,1.33,0.034,1.37,1370.0
0.91,10,5,1000,1.58,0.087,1.67,1670.0
0.47,53,16,1000,1.16,-0.027,1.13,1130.0
0.34,56,64,1000,1.05,-0.08,0.97,970.0
0.07,48,17,1000,0.82,-0.009,0.81,810.0
0.35,25,65,1000,1.07,0.084,1.15,1150.0
0.84,40,57,1000,1.48,-0.08,1.4,1400.0
0.33,38,53,1000,1.05,0.002,1.05,1050.0
0.95,58,25,1000,1.57,-0.05,1.52,1520.0
0.29,47,81,1000,1.01,-0.043,0.97,970.0
0.17,51,59,1000,0.91,0.071,0.98,980.0
0.51,56,52,1000,1.19,-0.008,1.19,1190.0
0.74,51,87,1000,1.39,0.1,1.49,1490.0
0.34,59,57,1000,1.05,0.05,1.1,1100.0
0.84,59,80,1000,1.47,0.092,1.57,1570.0
0.46,41,18,1000,1.16,0.043,1.2,1200.0
0.49,27,73,1000,1.19,0.043,1.23,1230.0
0.29,14,54,1000,1.04,0.002,1.04,1040.0
0.42,39,50,1000,1.12,-0.044,1.08,1080.0
0.19,55,41,1000,0.92,-0.044,0.88,880.0
0.67,15,24,1000,1.36,0.061,1.42,1420.0
0.05,10,66,1000,0.85,-0.05,0.8,800.0
0.18,9,7,1000,0.96,0.036,1.0,1000.0
0.53,24,70,1000,1.22,-0.072,1.15,1150.0
0.76,54,33,1000,1.41,0.018,1.42,1420.0
0.23,24,3,1000,0.97,-0.077,0.89,890.0
0.85,13,52,1000,1.52,0.027,1.54,1540.0
0.79,35,79,1000,1.44,-0.05,1.39,1390.0
0.76,59,5,1000,1.41,0.039,1.45,1450.0
0.13,48,51,1000,0.87,-0.03,0.84,840.0
0.17,21,64,1000,0.92,-0.044,0.88,880.0
0.73,4,6,1000,1.49,-0.001,1.49,1490.0
0.56,0,54,1000,1.83,-0.049,1.78,1780.0
0.86,53,31,1000,1.49,0.092,1.58,1580.0
0.68,35,27,1000,1.34,-0.053,1.29,1290.0
0.46,34,9,1000,1.16,0.09,1.25,1250.0
0.55,4,69,1000,1.34,-0.069,1.27,1270.0
0.69,12,5,1000,1.38,-0.016,1.37,1370.0
0.29,58,71,1000,1.01,-0.007,1.0,1000.0
0.07,25,76,1000,0.83,0.066,0.9,900.0
0.78,23,43,1000,1.44,-0.058,1.38,1380.0
0.89,22,80,1000,1.53,-0.044,1.49,1490.0
0.21,9,62,1000,0.99,0.055,1.04,1040.0
0.64,28,12,1000,1.31,-0.041,1.27,1270.0
0.66,25,40,1000,1.33,-0.069,1.27,1270.0
0.87,41,24,1000,1.5,0.118,1.62,1620.0
0.48,33,55,1000,1.18,-0.022,1.15,1150.0
0.43,20,88,1000,1.14,-0.04,1.1,1100.0
0.72,52,56,1000,1.37,0.023,1.4,1400.0
0.22,54,60,1000,0.95,0.099,1.05,1050.0
0.07,2,4,1000,1.01,0.011,1.02,1020.0
0.36,18,39,1000,1.09,0.098,1.19,1190.0
0.16,12,34,1000,0.93,0.043,0.98,980.0
0.26,57,24,1000,0.98,0.114,1.09,1090.0
0.8,41,89,1000,1.44,-0.018,1.43,1430.0
0.32,45,65,1000,1.04,0.022,1.06,1060.0
0.94,11,68,1000,1.6,-0.043,1.56,1560.0
0.97,39,89,1000,1.59,0.029,1.62,1620.0
0.91,42,41,1000,1.54,0.002,1.54,1540.0
0.1,27,77,1000,0.86,0.106,0.96,960.0
0.87,42,65,1000,1.5,0.061,1.56,1560.0
0.36,32,20,1000,1.07,-0.007,1.07,1070.0
0.62,26,8,1000,1.3,-0.039,1.26,1260.0
0.17,17,90,1000,0.93,0.04,0.97,970.0
0.41,32,10,1000,1.12,0.094,1.21,1210.0
0.29,0,11,1000,1.6,0.064,1.66,1660.0
0.84,60,55,1000,1.47,0.043,1.52,1520.0
0.12,19,2,1000,0.88,-0.058,0.82,820.0
0.37,35,30,1000,1.08,-0.063,1.02,1020.0
0.14,59,59,1000,0.88,-0.052,0.83,830.0
0.42,0,45,1000,1.71,0.033,1.74,1740.0
0.7,21,30,1000,1.37,0.112,1.48,1480.0
0.56,34,52,1000,1.24,-0.049,1.19,1190.0
0.62,18,18,1000,1.31,0.056,1.36,1360.0
0.11,20,40,1000,0.87,0.092,0.96,960.0
0.46,2,51,1000,1.34,-0.055,1.29,1290.0
0.62,37,20,1000,1.29,0.1,1.39,1390.0
0.76,60,21,1000,1.41,-0.057,1.35,1350.0
0.31,8,23,1000,1.08,0.023,1.1,1100.0
0.63,5,43,1000,1.39,0.065,1.45,1450.0
0.13,54,49,1000,0.87,0.092,0.96,960.0
0.44,8,55,1000,1.19,-0.044,1.15,1150.0
0.43,38,74,1000,1.13,-0.046,1.08,1080.0
0.26,52,27,1000,0.98,-0.016,0.97,970.0
0.69,56,8,1000,1.35,0.018,1.36,1360.0
0.2,1,26,1000,1.22,-0.008,1.21,1210.0
0.35,36,88,1000,1.06,0.069,1.13,1130.0
0.35,48,44,1000,1.06,0.021,1.08,1080.0
0.81,34,88,1000,1.46,0.041,1.5,1500.0
0.72,23,54,1000,1.39,-0.037,1.35,1350.0
0.66,15,9,1000,1.35,0.05,1.4,1400.0
